sector,per_employee_gbp,per_trainee_gbp,employees,trainees
Construction,2630,5350,1405100,691300
Business Services,2240,3710,5997400,3618500
Education,2050,2540,2713200,2192900
Primary Sector & Utilities,1850,3400,847700,460300
Arts & Other Services,1730,2790,1382400,856300
Information & Communications,1630,2820,1296300,751300
Wholesale & Retail,1570,3120,4344900,2192300
Financial Services,1420,1720,975500,803100
Manufacturing,1410,2920,2336600,1127000
Health & Social Work,1390,1730,4379900,3517700
Hotels & Restaurants,1330,2030,2481400,1624900
Transport & Storage,1320,2140,1504300,931800
Public admin.,920,1690,1496600,816500
